win_start,win_end,center_index,window_date,window_start_date,window_end_date,D,D_stderr,D_ci_low,D_ci_high,beta_acf,beta_acf_stderr,beta_acf_ci_low,beta_acf_ci_high,beta_acf_r2,De_acf_TL_JOINT,De_acf_TL_JOINT_stderr,De_acf_TL_AR,De_acf_TL_AR_stderr,De_acf_Student,De_acf_Student_stderr,beta_hac,beta_hac_stderr,beta_hac_r2,De_hac_TL_JOINT,De_hac_TL_JOINT_stderr,De_hac_TL_AR,De_hac_TL_AR_stderr,De_hac_Student,De_hac_Student_stderr,beta_dfa,beta_dfa_stderr,beta_dfa_ci_low,beta_dfa_ci_high,beta_dfa_H,beta_dfa_r2,De_dfa_TL_JOINT,De_dfa_TL_JOINT_stderr,De_dfa_TL_AR,De_dfa_TL_AR_stderr,De_dfa_Student,De_dfa_Student_stderr,beta_bayes,beta_bayes_stderr,De_bayes_TL_JOINT,De_bayes_TL_JOINT_stderr,De_bayes_TL_AR,De_bayes_TL_AR_stderr,De_bayes_Student,De_bayes_Student_stderr,beta_whittle,beta_whittle_stderr,beta_whittle_m,De_whittle_TL_JOINT,De_whittle_TL_JOINT_stderr,De_whittle_TL_AR,De_whittle_TL_AR_stderr,De_whittle_Student,De_whittle_Student_stderr,,epsilon
572,697,634,1898-11-30T00:00:00,1898-08-31T00:00:00,1899-03-02T00:00:00,,,,,2.625467802883984,0.6245799049124865,0.037565885,2.2238893599565284,0.5895012405294688,0.21534484111428442,0.1010109894575068,0.22400923487933438,0.10421970531701408,0.19718891157645138,0.094088133,2.580623601,0.36390086168195146,0.5941370495617719,0.13251215816331857,0.039889655550467154,0.1392598768853657,0.048586484,0.1205698524495641,0.023594975222886626,,,,,,,,,,,,,1.588311378112922,0.3673728398369041,0.1748161127157932,0.079096466,0.1843340021051231,0.086194378,0.15658377444916413,0.06478623,,,,,,,,,,,0.124009235
594,719,656,1899-01-03T00:00:00,1898-10-03T00:00:00,1899-04-04T00:00:00,,,,,2.1822147252642394,0.5793114058048603,0.1611915604078832,2.228821953671192,0.3756454143271065,0.2190411695190031,0.10212679759429939,0.22718290913566946,0.104998151,0.20236771306526585,0.096171659,2.166345596364042,0.8000861630514567,0.39511878306564496,0.2536705722333238,0.10981032889725342,0.25806680808323945,0.11045039192189238,0.24530458531087776,0.10885701492606592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127182909
616,741,678,1899-02-02T00:00:00,1898-11-02T00:00:00,1899-05-04T00:00:00,,,,,0.047405308,0.603973698,0.062301523171789525,2.063669923,0.000758683,0.29320916822588305,0.1093219141035739,0.2923156082588248,0.10954773430097582,0.29526096653333056,0.10874978841571944,0.11066481171005928,0.4093051618490793,0.004349913,0.2928805968957142,0.10869597,0.2914783270676514,0.1091278290985806,0.2962600133341846,0.10766111694058304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06096086
638,763,700,1899-03-08T00:00:00,1898-12-06T00:00:00,1899-06-07T00:00:00,,,,,0.6421384349125969,0.5315345879721833,0.068172117,2.005903643834602,0.037560317439069624,0.2709970767397364,0.11031735532606875,0.27267083812854254,0.11059648514931357,0.2689333955015556,0.10992484543777925,0.5508181427571492,0.7012530180135977,0.030449171482055615,0.2812571655576993,0.11045277333096558,0.2819586034182975,0.11056050422450023,0.2805556031988632,0.11027586473814925,,,,,,,,,,,,,0.8299889184396563,0.5098064184903546,0.2608556205170738,0.10986149211239009,0.2637382120837016,0.11036578552377449,0.25653252938550514,0.10917583468821104,,,,,,,,,,,0.172670838
660,785,722,1899-04-10T00:00:00,1899-01-09T00:00:00,1899-07-11T00:00:00,,,,,0.3500985753777062,0.5933073685139745,0.10950392199273296,2.255143668859385,0.028133294,0.2841017229555234,0.11011314711606332,0.2842871326559022,0.11027473072663298,0.2844856799541379,0.10976479558682213,0.336887479,0.49304017330856886,0.026313766370218872,0.28206044533998215,0.10995313653378905,0.28224602032859913,0.11019297681901066,0.28274259971927274,0.10944646533763426,,,,,,,,,,,,,0.6390286038413654,0.43154332162401793,0.2611840523556062,0.10951738572844803,0.26365933652772844,0.11008496236943463,0.258114811,0.10870772025860943,,,,,,,,,,,0.184287133
682,807,744,1899-05-10T00:00:00,1899-02-08T00:00:00,1899-08-10T00:00:00,,,,,0.9033832373224765,0.5997517129485732,0.033149052498749144,1.9956017072845298,0.23301585348445897,0.26671181974774966,0.11040683910665991,0.26910508440508984,0.11071673200358323,0.2630386786584317,0.1100290145607688,0.824123265,0.34019374605586755,0.22158517299373948,0.22500468896198444,0.10238245889477102,0.23077061511801628,0.10474136136684252,0.21605047645508588,0.09861996,,,,,,,,,,,,,0.8709250768022982,0.4366144263764696,0.24746300577364952,0.10809921802565658,0.251649357,0.10913864881890371,0.24088021080167726,0.10653691996526576,,,,,,,,,,,0.169105084
704,829,766,1899-06-13T00:00:00,1899-03-14T00:00:00,1899-09-12T00:00:00,,,,,0.5212757014507117,0.6504307966662902,0.075882639,2.2118490025103714,0.070344992,0.2806072629296539,0.1104099536648142,0.281322691,0.11054026118055926,0.27996667535137865,0.1101877853781254,0.6489633961578619,0.45134579529034713,0.08904974,0.2631200380369578,0.10974437079227344,0.2654650213525491,0.11024280652743376,0.26017063652427774,0.10903769916865526,,,,,,,,,,,,,0.8038468204033233,0.478020144,0.25811522926046293,0.10952859125159513,0.26121194400149284,0.11013674204438995,0.2535229916281245,0.10867851717898679,,,,,,,,,,,0.181322691
726,851,788,1899-07-17T00:00:00,1899-04-14T00:00:00,1899-10-13T00:00:00,,,,,2.5714980706907253,0.806027663,0.056454094491337974,2.601046722914072,0.5410059258274966,0.2465859794554252,0.10892268477891753,0.25190779736148017,0.10988097770837672,0.23607479699041362,0.10728946402332752,2.6070157889815517,0.3190565623912581,0.57307895,0.1203299605600185,0.025094060705056365,0.12493689456737206,0.030649504992664077,0.11411476299220873,0.013703151187143839,,,,,,,,,,,,,1.5388801816511068,0.38763826220744807,0.18706081708360026,0.086976259,0.19646236922195728,0.092847765,0.16887117553524633,0.075060528,,,,,,,,,,,0.151907797
748,873,810,1899-08-16T00:00:00,1899-05-16T00:00:00,1899-11-15T00:00:00,,,,,1.071997313,0.7430663353302692,0.053401818978497564,2.8810473920492656,0.2910919596933419,0.27144406142913335,0.11072323017246073,0.27345183291575603,0.11089512736225679,0.2682360475806236,0.11056872854663119,0.9773946602939209,0.5972682312344924,0.22735911087680016,0.2640662294646505,0.1102960546588198,0.2667938821240624,0.11066558173813106,0.25972829,0.10983470570463819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173451833
770,895,832,1899-09-18T00:00:00,1899-06-19T00:00:00,1899-12-18T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
