win_start,win_end,center_index,window_date,D,D_stderr,beta_hac,beta_hac_stderr,De_hac_TL_AR,De_hac_TL_AR_stderr,De_hac_Student,De_hac_Student_stderr,DELTA D,DELTA BETA,DELTA D_E,Lag D-1,LagD-2,LagD-3,LagD-4,lagB-1,Lagb-2,Lagb-3,Lagb-4,correl,dummy,serei specifica
11000,12200,11600,1940-08-22T00:00:00,0.550066086,0.016361586,1.787599517,0.232740795,0.118407762,0.02177845,0.114408307,0.015599028,0.032540831,0.193271655,0.001419761,0.059526368,-0.029291549,0.019929307,0.014778384,0.432189261,0.15715184,0.473290651,-0.279932788,0.379415985,1,-0.200927221
11250,12450,11850,1941-06-23T00:00:00,0.567965693,0.019523817,1.790137482,0.227259215,0.117005971,0.020025392,0.113514608,0.014715896,0.0174078,0.271659533,-0.600962906,0.032540831,0.059526368,-0.029291549,0.019929307,0.193271655,0.432189261,0.15715184,0.473290651,0.396933214,1,-0.092034796
11500,12700,12100,1942-04-23T00:00:00,0.577852726,0.024827648,0.71433126,0.219462182,0.182179575,0.081982173,0.171310378,0.069031557,0.036132477,-0.200927221,-0.64229676,0.0174078,0.032540831,0.059526368,-0.029291549,0.271659533,0.193271655,0.432189261,0.15715184,0.466246604,0,
11750,12950,12350,1943-02-20T00:00:00,0.598731977,0.019839098,0.255518606,0.079053079,0.183411683,0.062050537,0.214556473,0.065795516,-0.041546196,-0.092034796,-0.139122767,0.036132477,0.0174078,0.032540831,0.059526368,-0.200927221,0.271659533,0.193271655,0.432189261,0.673448437,0,
12000,13200,12600,1943-12-20T00:00:00,0.573856941,0.01801321,0.219970151,0.093732363,0.221163183,0.084899354,0.247729508,0.082656528,-0.027158817,-0.284525704,1.924893622,-0.041546196,0.036132477,0.0174078,0.032540831,-0.092034796,-0.200927221,0.271659533,0.193271655,0.778860707,0,
12250,13450,12850,1944-10-20T00:00:00,0.558271665,0.012887989,0.64338929,0.07625488,0.111126993,0.011423924,0.123592175,0.020094713,-0.011702447,-0.152078966,-0.013043432,-0.027158817,-0.041546196,0.036132477,0.0174078,-0.284525704,-0.092034796,-0.200927221,0.271659533,0.648976175,0,
12500,13700,13100,1945-09-04T00:00:00,0.55173852,0.010927997,0.634997286,0.096342726,0.116914779,0.017007229,0.128275969,0.023972146,0.009668457,0.654816569,0.358022691,-0.011702447,-0.027158817,-0.041546196,0.036132477,-0.152078966,-0.284525704,-0.092034796,-0.200927221,0.608040851,0,
12750,13950,13350,1946-07-19T00:00:00,0.557072981,0.018083831,0.862340723,0.157921336,0.126020386,0.028815371,0.127663059,0.02608298,0.008607461,0.103468184,0.22848651,0.009668457,-0.011702447,-0.027158817,-0.041546196,0.654816569,-0.152078966,-0.284525704,-0.092034796,0.722519613,0,
13000,14200,13600,1947-06-03T00:00:00,0.561867965,0.019954932,1.059373946,0.226926787,0.147363514,0.055002545,0.137432082,0.039037944,-0.00310738,-0.276258757,-0.25381688,0.008607461,0.009668457,-0.011702447,-0.027158817,0.103468184,0.654816569,-0.152078966,-0.284525704,0.727741764,0,
13250,14450,13850,1948-04-17T00:00:00,0.560122027,0.014442207,0.790486956,0.147120078,0.12601495,0.028286923,0.12935788,0.027048292,0.004640861,-0.020535359,0.151214387,-0.00310738,0.008607461,0.009668457,-0.011702447,-0.276258757,0.103468184,0.654816569,-0.152078966,0.708433313,0,
13500,14700,14100,1949-03-09T00:00:00,0.562721476,0.014145631,0.910019957,0.134714625,0.115618919,0.01692399,0.119760156,0.018846186,0.026616117,0.269756351,0.058051554,0.004640861,-0.00310738,0.008607461,0.009668457,-0.020535359,-0.276258757,0.103468184,0.654816569,0.765716168,0,
13750,14950,14350,1950-01-28T00:00:00,0.577698936,0.017961505,0.962848029,0.185203061,0.131983608,0.036810991,0.129474214,0.028902673,-0.028672661,-0.495543262,-0.293278134,0.026616117,0.004640861,-0.00310738,0.008607461,0.269756351,-0.020535359,-0.276258757,0.103468184,0.795405999,0,
14000,15200,14600,1950-12-12T00:00:00,0.561134771,0.009060802,0.680465756,0.145118439,0.134180839,0.036855228,0.138159281,0.034298376,-0.003104735,0.111664939,0.037570166,-0.028672661,0.026616117,0.004640861,-0.00310738,-0.495543262,0.269756351,-0.020535359,-0.276258757,0.585040969,0,
14250,15450,14850,1951-11-01T00:00:00,0.559392596,0.010072576,0.706030967,0.182826973,0.156002063,0.060916154,0.151636429,0.049737181,0.002972413,0.209329068,-0.782499082,-0.003104735,-0.028672661,0.026616117,0.004640861,0.111664939,-0.495543262,0.269756351,-0.020535359,0.610261285,0,
14500,15700,15100,1952-09-19T00:00:00,0.561055342,0.012181059,0.153562383,0.106605074,0.273376186,0.098415757,0.295664275,0.092734025,0.038377326,0.149938174,-2.586273847,0.002972413,-0.003104735,-0.028672661,0.026616117,0.209329068,0.111664939,-0.495543262,0.269756351,0.522928988,0,
14750,15950,15350,1953-09-18T00:00:00,0.582587145,0.014007465,-0.243591992,0.204595267,0.348648595,0.092146968,0.362318492,0.086579539,-0.000758136,0.157441983,-1.758867735,0.038377326,0.002972413,-0.003104735,-0.028672661,0.149938174,0.209329068,0.111664939,-0.495543262,0.450097558,0,
15000,16200,15600,1954-09-17T00:00:00,0.582145465,0.016212828,0.184854103,0.133222121,0.266064082,0.101970932,0.283967691,0.097159279,-0.008721639,-0.024185221,2.387910427,-0.000758136,0.038377326,0.002972413,-0.003104735,0.157441983,0.149938174,0.209329068,0.111664939,0.272638084,0,
15250,16450,15850,1955-09-13T00:00:00,0.577068202,0.015820717,0.626269144,0.318622693,0.243323509,0.10684959,0.234829478,0.102885098,-0.008070932,-0.111309814,0.233225282,-0.008721639,-0.000758136,0.038377326,0.002972413,-0.024185221,0.157441983,0.149938174,0.209329068,-0.029828518,0,
15500,16700,16100,1956-09-10T00:00:00,0.572410724,0.014059716,0.772330942,0.211523307,0.167900159,0.07204805,0.15800634,0.057847837,-0.010544298,0.106862329,0.389049846,-0.008070932,-0.008721639,-0.000758136,0.038377326,-0.111309814,-0.024185221,0.157441983,0.149938174,-0.047558497,0,
15750,16950,16350,1957-09-09T00:00:00,0.566375055,0.01556217,1.072806177,0.177939697,0.123002364,0.026147866,0.122279333,0.021994714,-0.024031276,-0.336671182,-0.049415287,-0.010544298,-0.008070932,-0.008721639,-0.000758136,0.106862329,-0.111309814,-0.024185221,0.157441983,0.033182223,0,
16000,17200,16600,1958-09-04T00:00:00,0.55276434,0.010322836,1.019793151,0.464076528,0.249567775,0.108742779,0.237612983,0.105530288,-0.046860394,-0.433773539,-0.504015675,-0.024031276,-0.010544298,-0.008070932,-0.008721639,-0.336671182,0.106862329,-0.111309814,-0.024185221,-0.068608894,0,
16250,17450,16850,1959-09-01T00:00:00,0.526861585,0.005845063,0.505801417,0.290334019,0.248214769,0.107215834,0.243300852,0.103926157,0.057339365,-0.008782792,1.306508322,-0.046860394,-0.024031276,-0.010544298,-0.008070932,-0.433773539,-0.336671182,0.106862329,-0.111309814,-0.420766696,0,
16500,17700,17100,1960-08-29T00:00:00,0.557071494,0.005793727,1.166635179,0.251760226,0.153320552,0.061423697,0.139840031,0.042764202,0.009655666,0.044213572,0.007086558,0.057339365,-0.046860394,-0.024031276,-0.010544298,-0.008782792,-0.433773539,-0.336671182,0.106862329,-0.147497005,0,
16750,17950,17350,1961-08-28T00:00:00,0.562450391,0.006049888,1.174902607,0.226479589,0.138770393,0.046019887,0.130609132,0.031770491,0.002048347,0.434992762,-0.204913213,0.009655666,0.057339365,-0.046860394,-0.024031276,0.044213572,-0.008782792,-0.433773539,-0.336671182,-0.032246774,0,
17000,18200,17600,1962-08-24T00:00:00,0.563602484,0.008681546,0.934149539,0.159135127,0.122538525,0.024995428,0.124030382,0.023000758,0.008045832,-0.169635038,-0.002016209,0.002048347,0.009655666,0.057339365,-0.046860394,0.434992762,0.044213572,-0.008782792,-0.433773539,-0.109343854,0,
17250,18450,17850,1963-08-22T00:00:00,0.568137135,0.007208851,0.932266098,0.20796239,0.147046178,0.053952873,0.139424713,0.040042298,0.011143143,-0.618457807,-0.336605419,0.008045832,0.002048347,0.009655666,0.057339365,-0.169635038,0.434992762,0.044213572,-0.008782792,-0.160672341,0,
17500,18700,18100,1964-08-20T00:00:00,0.574467969,0.002750481,0.618460277,0.069045997,0.11065575,0.010894549,0.124297838,0.020354448,-0.022454618,1.083862715,-0.188043649,0.011143143,0.008045832,0.002048347,0.009655666,-0.618457807,-0.169635038,0.434992762,0.044213572,-0.07140448,0,
17750,18950,18350,1965-08-18T00:00:00,0.56156851,0.005731625,0.50216275,0.040906854,0.11128307,0.0106658,0.131659973,0.023976825,0.032077692,-0.048686307,0.098688842,-0.022454618,0.011143143,0.008045832,0.002048347,1.083862715,-0.618457807,-0.169635038,0.434992762,0.001312175,0,
18000,19200,18600,1966-08-15T00:00:00,0.579582332,0.005452573,0.551720611,0.098400531,0.123949809,0.023435972,0.137510724,0.030301397,0.033045788,0.338743307,0.284022461,0.032077692,-0.022454618,0.011143143,0.008045832,-0.048686307,1.083862715,-0.618457807,-0.169635038,-0.098366278,1,0.242429438
18250,19450,18850,1967-08-11T00:00:00,0.598735087,0.007299596,0.708421656,0.090619537,0.11173685,0.012262397,0.121706849,0.019200478,-0.015981603,0.123501601,0.604058421,0.033045788,0.032077692,-0.022454618,0.011143143,0.338743307,-0.048686307,1.083862715,-0.618457807,-0.02691403,1,-0.341736977
18500,19700,19100,1968-08-27T00:00:00,0.589166341,0.008201108,1.136349723,0.187342034,0.123689052,0.02723255,0.121959764,0.021936222,0.009295867,0.242429438,-0.335563442,-0.015981603,0.033045788,0.032077692,-0.022454618,0.123501601,0.338743307,-0.048686307,1.083862715,0.020778685,1,-0.313829938
